sequence,model_id,name,claude_status,grok_status,synthesis_status,validation_status,bundles,layers,findings,questions,artifacts,functions
1,WM-XCT-011,Identifier Scheme,complete,complete,reviewable-draft,valid,6,20,29,130,27,14
2,WM-XCT-012,Provenance,complete,complete,reviewable-draft,valid,6,14,33,123,28,14
3,WM-XCT-009,Time / Calendar,complete,complete,reviewable-draft,valid,7,20,20,111,27,13
4,WM-XCT-021,Lifecycle / Status,complete,complete,reviewable-draft,valid,5,12,32,128,26,17
5,WM-XCT-022,Version / Change History,complete,complete,reviewable-draft,valid,6,12,26,119,24,21
6,WM-XCT-001,Ownership / Stewardship,complete,complete,reviewable-draft,valid,6,15,31,120,28,16
7,WM-XCT-002,Access Contract / Consent,complete,complete,reviewable-draft,valid,6,16,29,113,24,13
8,WM-XCT-020,Classification Binding,complete,complete,reviewable-draft,valid,6,14,32,112,17,16
9,WM-XCT-008,Quantity / Unit,complete,complete,reviewable-draft,valid,7,16,29,105,15,14
10,WM-XCT-010,Location Referencing / Address,complete,complete,reviewable-draft,valid,6,16,28,128,22,15
11,WM-XCT-023,Party Role,complete,complete,reviewable-draft,valid,7,16,31,119,24,12
12,WM-XCT-028,Evidence / Rationale,complete,complete,reviewable-draft,valid,6,14,33,157,23,15
13,WM-XCT-026,Quality / Confidence,complete,complete,reviewable-draft,valid,6,14,27,112,18,18
14,WM-XCT-029,Obligation / Commitment,complete,complete,reviewable-draft,valid,6,16,29,123,25,13
15,WM-PER-001,Person,complete,complete,reviewable-draft,valid,7,14,29,103,31,14
16,WM-ORG-001,Organization,complete,complete,reviewable-draft,valid,6,13,33,128,24,11
17,WM-ORG-010,Legal Entity Registration,complete,complete,reviewable-draft,valid,7,15,29,118,21,12
18,WM-ORG-002,Organizational Unit,complete,complete,reviewable-draft,valid,6,13,28,106,17,14
19,WM-ORG-004,Position,complete,complete,reviewable-draft,valid,6,13,30,117,26,13
20,WM-ORG-003,Team,complete,complete,reviewable-draft,valid,6,13,31,127,23,16
21,WM-ORG-016,Work Assignment,complete,complete,reviewable-draft,valid,6,13,28,115,18,13
22,WM-OBJ-002,Product Type / Catalog Item,complete,complete,reviewable-draft,valid,7,14,30,120,17,14
23,WM-OBJ-001,Physical Item Instance,complete,complete,reviewable-draft,valid,6,13,31,115,29,18
24,WM-PLC-010,Gazetteer Place,complete,complete,reviewable-draft,valid,6,16,27,111,19,17
25,WM-BLT-008,Site / Campus,complete,complete,reviewable-draft,valid,6,13,27,115,40,15
26,WM-BLT-006,Facility,complete,complete,reviewable-draft,valid,6,13,31,121,30,13
27,WM-REC-001,Document / Record,complete,complete,reviewable-draft,valid,6,13,29,108,27,18
28,WM-REC-007,Form / Submission,complete,complete,reviewable-draft,valid,7,16,29,117,27,17
29,WM-REC-009,Application / Request Record,complete,complete,reviewable-draft,valid,6,14,32,130,25,13
30,WM-REC-010,Decision / Approval Record,complete,complete,reviewable-draft,valid,7,13,32,137,23,15
31,WM-REC-003,Message,complete,complete,reviewable-draft,valid,6,15,27,111,16,16
32,WM-DAT-001,Dataset,complete,complete,reviewable-draft,valid,7,15,27,117,27,15
33,WM-DAT-004,Data Schema / Data Contract,complete,complete,reviewable-draft,valid,6,16,31,126,28,11
34,WM-ACT-015,Occurrence / Event,complete,complete,reviewable-draft,valid,7,14,28,105,12,15
35,WM-ACT-005,Project,complete,complete,reviewable-draft,valid,6,14,30,122,29,14
36,WM-ACT-006,Task,complete,complete,reviewable-draft,valid,6,13,30,104,18,12
37,WM-ACT-008,Plan / Schedule,complete,complete,reviewable-draft,valid,6,13,32,130,31,13
38,WM-ECO-006,Commercial Contract,complete,complete,reviewable-draft,valid,6,13,30,115,19,17
39,WM-ECO-019,Purchase Order,complete,complete,reviewable-draft,valid,6,14,27,102,18,15
40,WM-ECO-008,Invoice / Commercial Document,complete,complete,reviewable-draft,valid,6,15,28,113,30,14
41,WM-ECO-009,Payment,complete,complete,reviewable-draft,valid,6,13,35,124,37,14
42,WM-ECO-016,Financial Transaction / Journal Entry,complete,complete,reviewable-draft,valid,6,13,28,102,21,15
43,WM-SFT-001,Software Product,complete,complete,reviewable-draft,valid,7,14,30,107,30,15
44,WM-SFT-007,Software Component / Package,complete,complete,reviewable-draft,valid,6,13,29,117,27,12
45,WM-AI-001,AI System,complete,complete,reviewable-draft,valid,6,16,29,113,29,15
46,WM-SFT-004,ML Model Artifact,complete,complete,reviewable-draft,valid,6,12,28,116,24,13
47,WM-AI-002,AI Agent,complete,complete,reviewable-draft,valid,6,15,32,126,31,12
48,WM-AI-005,Prompt / Agent Configuration,complete,complete,reviewable-draft,valid,7,15,32,118,29,12
49,WM-AI-004,AI Inference / Agent Run,complete,complete,reviewable-draft,valid,7,15,30,115,20,11
50,WM-AI-003,AI Model Evaluation,complete,complete,reviewable-draft,valid,5,13,28,112,30,16
